time_period,time_identifier,geographic_level,country_code,country_name,itt_route,institution_type,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Total,New Entrants,25021,73
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Study Pattern,Full Time,24833,99
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Study Pattern,Part Time,188,1
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Age,under 25,13025,52
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Age,25 to 29,5849,23
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Age,30 to 34,2151,9
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Age,35 to 39,1402,6
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Age,40 to 44,1085,4
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Age,45 to 49,883,4
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Age,50 to 54,432,2
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Age,55 and over,194,1
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Age,Mean,27,null
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Age,Median,24,null
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Male,7589,30
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Female,17421,70
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Other Sex,11,0
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Known Sex,25021,100
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Total,Primary,10037,40
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Primary Male,1744,17
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Primary Female,8291,83
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Primary Other Sex,2,0
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Primary Known Sex,10037,100
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Total,Secondary,14984,60
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Secondary Male,5845,39
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Secondary Female,9130,61
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Secondary Other Sex,9,0
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Sex,Secondary Known Sex,14984,100
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Ethnicity,Asian / Asian British,2543,11
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Ethnicity,Black / African / Caribbean / Black British,854,4
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Ethnicity,Mixed / Multiple ethnic groups,710,3
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Ethnicity,Other Ethnicity,290,1
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Ethnicity,White,19489,82
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Ethnicity,Total Known Ethnicity,23886,95
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Disability,Disability Declared,3257,13
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Disability,No Disability Declared,21630,87
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Disability,Total Known Disability,24887,99
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Nationality,EEA,1289,5
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Nationality,UK,22556,92
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Nationality,Other Nationality,648,3
201920,Academic year,National,E92000001,England,PG fee-funded,Total,Nationality,Total Known Nationality,24493,98
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Total,New Entrants,18060,53
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Study Pattern,Full Time,17967,99
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Study Pattern,Part Time,93,1
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Age,under 25,10038,56
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Age,25 to 29,4158,23
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Age,30 to 34,1433,8
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Age,35 to 39,917,5
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Age,40 to 44,647,4
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Age,45 to 49,503,3
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Age,50 to 54,261,1
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Age,55 and over,103,1
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Age,Mean,27,null
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Age,Median,24,null
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Male,5490,30
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Female,12562,70
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Other Sex,8,0
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Known Sex,18060,100
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Total,Primary,7361,41
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Primary Male,1277,17
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Primary Female,6082,83
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Primary Other Sex,2,0
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Primary Known Sex,7361,100
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Total,Secondary,10699,59
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Secondary Male,4213,39
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Secondary Female,6480,61
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Secondary Other Sex,6,0
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Sex,Secondary Known Sex,10699,100
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Ethnicity,Asian / Asian British,2036,11
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Ethnicity,Black / African / Caribbean / Black British,696,4
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Ethnicity,Mixed / Multiple ethnic groups,573,3
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Ethnicity,Other Ethnicity,245,1
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Ethnicity,White,14184,80
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Ethnicity,Total Known Ethnicity,17734,98
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Disability,Disability Declared,2669,15
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Disability,No Disability Declared,15391,85
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Disability,Total Known Disability,18060,100
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Nationality,EEA,1004,6
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Nationality,UK,16056,92
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Nationality,Other Nationality,473,3
201920,Academic year,National,E92000001,England,PG fee-funded,Higher Education Institution,Nationality,Total Known Nationality,17533,97
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Total,New Entrants,6961,20
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Study Pattern,Full Time,6866,99
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Study Pattern,Part Time,95,1
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Age,under 25,2987,43
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Age,25 to 29,1691,24
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Age,30 to 34,718,10
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Age,35 to 39,485,7
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Age,40 to 44,438,6
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Age,45 to 49,380,5
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Age,50 to 54,171,2
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Age,55 and over,91,1
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Age,Mean,29,null
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Age,Median,25,null
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Male,2099,30
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Female,4859,70
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Other Sex,3,0
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Known Sex,6961,100
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Total,Primary,2676,38
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Primary Male,467,17
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Primary Female,2209,83
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Primary Other Sex,0,0
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Primary Known Sex,2676,100
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Total,Secondary,4285,62
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Secondary Male,1632,38
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Secondary Female,2650,62
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Secondary Other Sex,3,0
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Sex,Secondary Known Sex,4285,100
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Ethnicity,Asian / Asian British,507,8
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Ethnicity,Black / African / Caribbean / Black British,158,3
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Ethnicity,Mixed / Multiple ethnic groups,137,2
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Ethnicity,Other Ethnicity,45,1
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Ethnicity,White,5305,86
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Ethnicity,Total Known Ethnicity,6152,88
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Disability,Disability Declared,588,9
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Disability,No Disability Declared,6239,91
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Disability,Total Known Disability,6827,98
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Nationality,EEA,285,4
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Nationality,UK,6500,93
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Nationality,Other Nationality,175,3
201920,Academic year,National,E92000001,England,PG fee-funded,School Centred ITT,Nationality,Total Known Nationality,6960,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Total,New Entrants,2534,7
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Study Pattern,Full Time,2420,96
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Study Pattern,Part Time,114,4
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Age,under 25,595,23
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Age,25 to 29,865,34
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Age,30 to 34,376,15
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Age,35 to 39,239,9
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Age,40 to 44,198,8
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Age,45 to 49,165,7
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Age,50 to 54,78,3
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Age,55 and over,18,1
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Age,Mean,31,null
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Age,Median,28,null
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Male,592,23
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Female,1939,77
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Other Sex,3,0
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Known Sex,2534,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Total,Primary,1764,70
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Primary Male,297,17
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Primary Female,1467,83
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Primary Other Sex,0,0
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Primary Known Sex,1764,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Total,Secondary,770,30
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Secondary Male,295,38
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Secondary Female,472,61
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Secondary Other Sex,3,0
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Sex,Secondary Known Sex,770,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Ethnicity,Asian / Asian British,185,8
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Ethnicity,Black / African / Caribbean / Black British,132,6
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Ethnicity,Mixed / Multiple ethnic groups,78,4
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Ethnicity,Other Ethnicity,42,2
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Ethnicity,White,1746,80
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Ethnicity,Total Known Ethnicity,2183,86
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Disability,Disability Declared,177,7
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Disability,No Disability Declared,2335,93
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Disability,Total Known Disability,2512,99
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Nationality,EEA,109,4
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Nationality,UK,2272,91
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Nationality,Other Nationality,123,5
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Total,Nationality,Total Known Nationality,2504,99
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Total,New Entrants,1526,4
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Study Pattern,Full Time,1508,99
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Study Pattern,Part Time,18,1
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Age,under 25,376,25
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Age,25 to 29,490,32
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Age,30 to 34,219,14
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Age,35 to 39,149,10
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Age,40 to 44,128,8
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Age,45 to 49,107,7
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Age,50 to 54,46,3
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Age,55 and over,11,1
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Age,Mean,31,null
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Age,Median,28,null
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Male,358,23
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Female,1165,76
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Other Sex,3,0
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Known Sex,1526,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Total,Primary,1021,67
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Primary Male,165,16
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Primary Female,856,84
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Primary Other Sex,0,0
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Primary Known Sex,1021,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Total,Secondary,505,33
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Secondary Male,193,38
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Secondary Female,309,61
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Secondary Other Sex,3,1
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Sex,Secondary Known Sex,505,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Ethnicity,Asian / Asian British,99,8
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Ethnicity,Black / African / Caribbean / Black British,84,7
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Ethnicity,Mixed / Multiple ethnic groups,45,4
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Ethnicity,Other Ethnicity,17,1
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Ethnicity,White,956,80
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Ethnicity,Total Known Ethnicity,1201,79
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Disability,Disability Declared,84,6
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Disability,No Disability Declared,1420,94
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Disability,Total Known Disability,1504,99
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Nationality,EEA,70,5
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Nationality,UK,1364,90
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Nationality,Other Nationality,90,6
201920,Academic year,National,E92000001,England,PG Salaried School Direct,School Centred ITT,Nationality,Total Known Nationality,1524,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Total,New Entrants,1008,3
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Study Pattern,Full Time,912,90
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Study Pattern,Part Time,96,10
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Age,under 25,219,22
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Age,25 to 29,375,37
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Age,30 to 34,157,16
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Age,35 to 39,90,9
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Age,40 to 44,70,7
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Age,45 to 49,58,6
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Age,50 to 54,32,3
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Age,55 and over,7,1
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Age,Mean,31,null
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Age,Median,28,null
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Male,234,23
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Female,774,77
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Other Sex,0,0
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Known Sex,1008,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Total,Primary,743,74
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Primary Male,132,18
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Primary Female,611,82
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Primary Other Sex,0,0
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Primary Known Sex,743,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Total,Secondary,265,26
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Secondary Male,102,38
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Secondary Female,163,62
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Secondary Other Sex,0,0
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Sex,Secondary Known Sex,265,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Ethnicity,Asian / Asian British,86,9
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Ethnicity,Black / African / Caribbean / Black British,48,5
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Ethnicity,Mixed / Multiple ethnic groups,33,3
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Ethnicity,Other Ethnicity,25,3
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Ethnicity,White,790,80
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Ethnicity,Total Known Ethnicity,982,97
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Disability,Disability Declared,93,9
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Disability,No Disability Declared,915,91
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Disability,Total Known Disability,1008,100
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Nationality,EEA,39,4
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Nationality,UK,908,93
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Nationality,Other Nationality,33,3
201920,Academic year,National,E92000001,England,PG Salaried School Direct,Higher Education Institution,Nationality,Total Known Nationality,980,97
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Total,New Entrants,1661,5
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Study Pattern,Full Time,1661,100
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Study Pattern,Part Time,0,0
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Age,under 25,1104,66
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Age,25 to 29,337,20
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Age,30 to 34,109,7
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Age,35 to 39,52,3
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Age,40 to 44,26,2
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Age,45 to 49,15,1
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Age,50 to 54,15,1
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Age,55 and over,3,0
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Age,Mean,25,null
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Age,Median,23,null
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Male,479,29
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Female,1168,70
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Other Sex,14,1
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Known Sex,1661,100
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Total,Primary,425,26
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Primary Male,69,16
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Primary Female,353,83
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Primary Other Sex,3,1
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Primary Known Sex,425,100
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Total,Secondary,1236,74
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Secondary Male,410,33
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Secondary Female,815,66
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Secondary Other Sex,11,1
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Sex,Secondary Known Sex,1236,100
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Ethnicity,Asian / Asian British,170,11
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Ethnicity,Black / African / Caribbean / Black British,69,5
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Ethnicity,Mixed / Multiple ethnic groups,82,5
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Ethnicity,Other Ethnicity,18,1
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Ethnicity,White,1190,78
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Ethnicity,Total Known Ethnicity,1529,92
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Disability,Disability Declared,200,17
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Disability,No Disability Declared,946,83
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Disability,Total Known Disability,1146,69
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Nationality,EEA,64,4
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Nationality,UK,1542,94
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Nationality,Other Nationality,31,2
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Total,Nationality,Total Known Nationality,1637,99
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Higher Education Institution,Total,New Entrants,1661,5
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Higher Education Institution,Study Pattern,Full Time,1661,100
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Higher Education Institution,Study Pattern,Part Time,0,0
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Higher Education Institution,Age,under 25,1104,66
201920,Academic year,National,E92000001,England,PG Salaried High Potential ITT,Higher Education Institution,Age,25 to 29,337,20
